"id","area","circularity","eccentricity","majorAxisLength","minoAxisLength","orientation","perimeter","spores"
1,204,0.946538407084257,0.0263220114833174,17.5228748054892,14.8770558282186,0.491827871336213,45,1
2,174,1.00571840274623,0.0127612461239418,15.7644701067631,14.0737133224165,1.1207138470741,40,1
3,226,0.87066872406406,0.019974586316398,18.259777954244,15.8380739398242,0.455912846746028,48,1
4,172,0.854818652473496,0.00946924543413083,15.5804468295631,14.1313786913851,0.755351578890329,42,1
5,288,0.88520080214437,0.0372629317477048,21.1390747553923,17.3854621658586,0.857896758469109,54,1
6,129,0.868093791060643,0.190085700182936,16.2666401947206,10.1945139948737,0.75683899599299,37,0
7,15,1.38719779689135,0.0163378370738877,4.618802153517,4.06174565646075,-1.32581766366803,10,0
8,206,0.926099214596238,0.00630076427963126,16.8887873398862,15.5974155593959,0.581631729246981,45,1
9,158,0.703833961516681,0.460272106149668,22.0125117571538,9.63502567032606,0.98758581629208,44,0
10,49,1.07802416890529,0.00144694304999167,8.05039711973874,7.74977921575638,-0.58811052497909,21,0
11,210,0.858093314100059,0.0316282245564453,18.0509514890662,15.0811222342718,0.406433308937226,48,0
12,26,1.20223809063917,0.00424422795010852,5.95048603255807,5.5746679790749,0,14,0
13,225,0.825431735414092,0.0128232926366378,17.9645932157508,16.0334153528358,1.24158522034573,49,1
14,206,0.934658531320328,0.0282768879415776,17.6436458253434,14.8887507201388,1.13964650419189,46,1
15,586,0.333434397547643,0.123291267256913,40.5688853661658,28.1140923420092,0.892053341424526,121,0
16,209,0.919106349455603,0.0282033288865347,17.7959111209954,15.0206237918215,0.73465580592679,46,1
17,197,0.402486625899313,0.529891060132029,28.2178631791593,11.1968454603597,-0.882884360465915,62,0
18,217,0.909057200086895,0.0163963517901865,17.7762627230435,15.6286999506786,0.177555983740111,44,1
19,211,0.899796491654256,0.0403300419717494,18.1833072908661,14.8338772934654,-0.116787589257421,46,1
20,30,0.952022058233599,0.0601461168116165,7.20506530263822,5.60935038685377,1.31952707906221,17,0
21,157,0.693032734248074,0.309632836644379,19.6920647117626,10.5122840625839,0.79928263662498,42,0
22,277,0.550786094105186,0.565785437478519,31.0896658601198,11.6919720209186,1.11862379199718,64,0
23,170,0.894485041163223,0.0839055342556313,17.1453858655521,12.7244975125517,-1.20605600148212,41,1
24,1,12.5663706143592,NA,0,0,0,1,0
25,170,0.389241020236299,0.735826739366277,30.9738513405571,8.56919203683801,0.953597407424814,59,0
26,148,0.412916443534247,0.212919507631522,20.3090216658972,12.3287759194675,-1.05931696474056,54,0
27,83,0.308094749890761,0.718066214877214,22.0827576493145,6.34700408454923,0.894315934569814,44,0
28,92,1.07934634908563,0.0107364961789847,11.3857986037397,10.2612692619312,0.200477921251347,29,1
29,10,0.292481451963717,0.878811210874188,12.0511908274556,2.16536362771959,-0.589754063237293,10,0
30,173,1.01042721257783,0.0172857859322416,15.8840494489847,13.9164904413392,-0.464931354725737,41,1
31,6,1.61703625335794,0.510204081632653,4,1.63299316185545,-0.321750554396642,6,0
32,42,0.924020716204538,0.0246394415126943,8.09766029347974,6.91226241503491,0.262734570474749,21,0
33,228,0.654096397101794,0.00611152382265683,17.8237623071937,16.4808062669849,-1.02407320776766,54,1
34,213,0.797288708252874,0.030012025052455,18.0897076143069,15.1854595327748,-1.0895102939195,48,1
35,355,0.376782871530812,0.044044081671197,26.2659741588747,21.2263284264162,1.27335565306988,88,0
36,129,0.277531760268881,0.294429663509944,22.5377943993332,12.2722551580745,-1.27474507934204,59,0
37,122,0.45130168325532,0.356829339887011,19.4463772585293,9.76340277073212,-1.44892091712997,47,0
38,69,1.11395147298378,0.0549029920360882,10.5436529655031,8.30431254745024,-1.39191422523244,25,0
39,151,0.619252517536242,0.273293410258906,19.5612118824163,10.9506436712054,-0.608970770601004,45,0
40,7,0.564301540038395,0.913223140495868,7.49628880515489,1.12917753467361,0.564211051909076,7,0
41,1,12.5663706143592,NA,0,0,0,1,0
42,254,0.795201410431237,0.039494108491376,19.9548214937993,16.3145852497632,0.413310806202337,53,1
43,132,0.25123803063841,0.583154163823906,29.1909428437483,10.686232230802,-0.603253079237061,64,0
44,36,0.943287690155916,0.168596617057547,8.67265020605766,5.60598909310481,1.37860597515644,19,0
45,101,0.583779072858444,0.221596387260829,16.2024822558305,9.71959114347087,-1.31587366835249,40,0
46,83,0.59697532847152,0.162320257313875,13.293566739202,8.67275231843988,0.89756446182669,34,0
47,79,0.43013172616863,0.246013378414036,14.3597916372437,8.33487578576176,-1.41280262285423,38,0
48,126,0.653758183372439,0.50566606131192,20.0989216827445,8.25861217041206,0.487700600644052,43,0
49,149,0.377507052648667,0.10154563932135,17.0056374366887,12.2238312941975,1.27084714710854,53,1
50,234,0.530849748371254,0.339206185807567,26.5557712825245,13.6418025549887,-1.09403994149037,62,0
51,4,1.39626340159546,1,4.47213595499958,0,1.5707963267949,4,0
52,551,0.63444589373909,0.0445606640006212,29.8493646467769,24.0912208294845,1.18415103092166,83,0
53,259,0.854989203340833,0.0138759311353703,19.319557387328,17.1632822896291,0.221341567919386,53,1
54,178,0.658456554257762,0.247046329105472,21.0608838963906,12.2075363670325,-0.0848828120787001,50,0
55,346,0.556060449472307,0.05916833380717,25.9675339660266,20.259550429508,-0.105459216552015,76,0
56,225,0.968134047449585,0.00104932931588118,17.2178543799498,16.6688582020701,0.861202306590262,47,1
57,145,0.480225181017744,0.445282147890389,21.4932723893877,9.601216388844,-0.932204018576671,48,0
58,114,0.45221047766096,0.597813977166521,21.1209294098827,7.55392436442838,0.114930316613702,46,0
59,85,0.997222170350852,0.177304580377698,13.0135947818001,8.30614801214994,-0.0594077457638599,29,0
1,136,0.766693595448907,0.41968721967222,19.4405575671439,8.98724673253737,0.156121511629065,41,0
2,272,0.660426227667581,0.436302697437548,29.2553757280526,13.2276097825965,0.0984907019882053,62,0
3,131,0.630120402122883,0.0880007039829379,15.2743929471032,11.2496429555523,-1.50638184127312,42,0
4,1,12.5663706143592,NA,0,0,0,1,0
5,82,1.09133310926215,0.0326445894731599,11.1800962653409,9.31337422563791,-0.0710232979316214,27,0
6,419,0.316634941945212,0.00230728231294396,31.7841792852742,30.2924191037094,1.44724337628673,107,0
7,39,1.07883847761345,0.0988129599999997,8.31448056902496,6.00527802979211,1.19114558728521,18,0
8,240,0.846241829540977,0.158677281715623,21.7154270422627,14.2441296109016,1.56317500370265,51,0
9,204,0.625050734100785,0.042569437959727,19.1782093380324,15.5559975121293,0.41794464285882,57,0
10,185,0.886375427766576,0.0860431771256732,18.1042457384762,13.3823853094122,0.170567766958161,45,0
11,313,0.645116745519065,0.115523769302014,26.3413444324841,18.4889633808215,-1.47890537235052,64,0
12,281,0.557329579924253,0.13244368406749,26.082830311448,17.8119746064815,0.140484978812505,68,0
13,300,0.542580615576386,0.151191522707793,27.4296229200189,18.1959399567601,0.186077562502268,73,0
14,253,0.909847940381294,0.0343700591155282,19.7608984135619,16.3813688128732,0.520362479596677,50,1
15,55,1.03036230848938,0.0769170693070668,9.66213336429286,7.26753487422932,1.42386823178325,23,0
16,162,0.832318678134811,0.0665721866899382,16.439003272642,12.6249519086156,0.641947076346873,42,1
17,65,1.14338588927491,0.00906027523204974,9.52346533996963,8.65627307446449,0.658655846548684,23,0
18,235,0.951899205262613,0.0131806572250147,18.3380352842441,16.3407477856026,-0.261491167800516,47,1
19,114,1.04809969079364,0.011252566093475,12.7087338452338,11.4250779157365,0.754798582214891,32,1
20,72,1.09631140642215,0.0133890087468764,10.1393909237892,9.02678653516142,-1.37460319621086,25,1
21,43,0.463550392629276,0.231450192426323,11.7197749661565,6.93702146792783,-1.16499830822232,29,1
22,69,0.676577280050912,0.000440486915513257,9.69201551469741,9.49069211697271,-0.96967232215792,28,1
