dataFileName,nbNeurons,maxNbIterations,NbTests,RatioClass0OverClass1,OverallPrecision,PrecisionForClass0,PrecisionForClass1
MaxEntropy.txt,1,10,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,1,100,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,1,500,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,1,2000,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,2,10,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,2,100,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,2,500,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,2,2000,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,3,10,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,3,100,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,3,500,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,3,2000,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,4,10,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,4,100,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,4,500,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,4,2000,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,5,10,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,5,100,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,5,500,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,5,2000,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,6,10,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,6,100,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,6,500,70,2.6842105263157894,0.7285714285714285,1.0,0.0
MaxEntropy.txt,6,2000,70,2.6842105263157894,0.7285714285714285,1.0,0.0
Niblack.txt,1,10,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,1,100,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,1,500,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,1,2000,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,2,10,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,2,100,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,2,500,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,2,2000,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,3,10,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,3,100,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,3,500,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,3,2000,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,4,10,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,4,100,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,4,500,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,4,2000,509,21.130434782608695,0.9548133595284872,1.0,0.0
Niblack.txt,5,10,509,21.130434782608695,0.9548133595284872,1.0,0.0
