dataFileName,nbNeurons,maxNbIterations,NbTests,RatioClass0OverClass1,OverallPrecision,PrecisionForClass0,PrecisionForClass1
002MaxEntropy.txt,2,10,18,5.0,0.8333333333333334,1.0,0.0
002MaxEntropy.txt,2,100,18,5.0,0.8333333333333334,1.0,0.0
002MaxEntropy.txt,2,1000,18,5.0,0.8333333333333334,1.0,0.0
002MaxEntropy.txt,3,10,18,5.0,0.8333333333333334,1.0,0.0
002MaxEntropy.txt,3,100,18,5.0,0.8333333333333334,1.0,0.0
002MaxEntropy.txt,3,1000,18,5.0,0.8333333333333334,1.0,0.0
002MaxEntropy.txt,6,10,18,5.0,0.8333333333333334,1.0,0.0
002MaxEntropy.txt,6,100,18,5.0,0.8333333333333334,1.0,0.0
002MaxEntropy.txt,6,1000,18,5.0,0.8333333333333334,1.0,0.0
002MaxEntropy.txt,9,10,18,5.0,0.8333333333333334,1.0,0.0
002MaxEntropy.txt,9,100,18,5.0,0.8333333333333334,1.0,0.0
002MaxEntropy.txt,9,1000,18,5.0,0.8333333333333334,1.0,0.0
002NIBLACK.txt,2,10,171,33.2,0.9707602339181286,1.0,0.0
002NIBLACK.txt,2,100,171,33.2,0.9707602339181286,1.0,0.0
002NIBLACK.txt,2,1000,171,33.2,0.9707602339181286,1.0,0.0
002NIBLACK.txt,3,10,171,33.2,0.9707602339181286,1.0,0.0
002NIBLACK.txt,3,100,171,33.2,0.9707602339181286,1.0,0.0
002NIBLACK.txt,3,1000,171,33.2,0.9707602339181286,1.0,0.0
002NIBLACK.txt,6,10,171,33.2,0.9707602339181286,1.0,0.0
002NIBLACK.txt,6,100,171,33.2,0.9707602339181286,1.0,0.0
002NIBLACK.txt,6,1000,171,33.2,0.6608187134502924,0.6807228915662651,0.0
002NIBLACK.txt,9,10,171,33.2,0.9707602339181286,1.0,0.0
002NIBLACK.txt,9,100,171,33.2,0.9707602339181286,1.0,0.0
002NIBLACK.txt,9,1000,171,33.2,0.12280701754385964,0.10843373493975904,0.6
002Otsu.txt,2,10,17,1.125,0.5294117647058824,1.0,0.0
002Otsu.txt,2,100,17,1.125,0.5294117647058824,1.0,0.0
002Otsu.txt,2,1000,17,1.125,0.5294117647058824,1.0,0.0
002Otsu.txt,3,10,17,1.125,0.5294117647058824,1.0,0.0
002Otsu.txt,3,100,17,1.125,0.5294117647058824,1.0,0.0
002Otsu.txt,3,1000,17,1.125,0.5294117647058824,1.0,0.0
002Otsu.txt,6,10,17,1.125,0.5294117647058824,1.0,0.0
002Otsu.txt,6,100,17,1.125,0.47058823529411764,0.0,1.0
002Otsu.txt,6,1000,17,1.125,0.5294117647058824,1.0,0.0
002Otsu.txt,9,10,17,1.125,0.5294117647058824,1.0,0.0
002Otsu.txt,9,100,17,1.125,0.5294117647058824,1.0,0.0
002Otsu.txt,9,1000,17,1.125,0.47058823529411764,0.0,1.0
004MaxEntropy.txt,2,10,22,1.2,0.5454545454545454,1.0,0.0
004MaxEntropy.txt,2,100,22,1.2,0.5454545454545454,1.0,0.0
