"id","area","circularity","eccentricity","majorAxisLength","minoAxisLength","orientation","perimeter","spores"
1,152,0.827595219970023,0.319814835992006,19.2795302514889,10.1566602051522,0.174430006996411,41,0
2,286,0.683246671078269,0.410112365878911,29.3002233987272,13.718473052671,0.103255281687843,63,0
3,147,0.989223157255152,0.0271089354328058,14.8658199176939,12.5900171549345,-1.4404203254161,37,0
4,111,0.613089214256675,0.0742531910835667,14.0165543916939,10.5981851678056,-0.0436546154318668,39,0
5,440,0.336818174738272,0.00170421373611365,31.7061706489279,30.4232074689442,1.13652379803778,107,0
6,49,0.317452802157974,0.191073652103154,11.416250591342,7.14471704846702,1.18849878798344,28,0
7,1,12.5663706143592,NA,0,0,0,1,0
8,1,12.5663706143592,NA,0,0,0,1,0
9,1,12.5663706143592,NA,0,0,0,1,0
10,2,3.14159265358979,1,2.82842712474619,0,0.785398163397448,2,0
11,4,1.07802416890529,0.818525519848771,4.6802057672011,1.0467444657879,-0.307331475961083,4,0
12,699,0.616169832134525,0.051534622034688,35.0012519771114,27.780840092387,0.525190948490046,102,0
13,331,0.676259254683618,0.120635882176849,26.9396024138487,18.7500579645633,-1.48479738322669,66,0
14,293,0.572670197534273,0.151676133412356,26.7210926795623,17.7129213569569,0.155481393091647,69,0
15,319,0.554674377826468,0.159849595269541,28.1768160323223,18.450185640484,0.149939784683045,73,0
16,4,1.28983209151633,0.734072022160665,4.19992979680016,1.16644318419293,-0.692724188399601,4,0
17,266,0.87123099160234,0.0266024327790476,20.0104378067357,16.9739813765747,0.442312393946404,52,1
18,79,0.58447267175689,0.0700968478129262,11.9141919303327,9.08397614150978,1.48592419710928,33,0
19,180,0.707899895025903,0.0614385402360487,17.3695570325026,13.4850157207349,0.607410332737773,46,1
20,77,0.603499730513935,0.0526917946784013,11.4692767632272,9.07896979576685,0.830126219050735,33,0
21,242,0.980253649674691,0.00474153368449181,18.1748583954992,16.9636241256687,-0.351283013602867,47,1
22,2,6.28318530717959,1,2,0,0,2,1
23,117,0.757999548009855,0.0260678901866048,13.3407449798638,11.3355301417952,0.787240645727171,35,1
24,105,0.978152224131475,0.0513540443680979,13.0583125386637,10.3688624308406,-1.39602905705827,33,1
25,1,12.5663706143592,NA,0,0,0,1,1
26,139,0.738690071453153,0.162164466023207,16.6178730071282,10.8440400326135,0.542460354167743,40,1
27,90,1.09471965321633,0.0259401436534843,11.5856655063501,9.84825655860491,-0.401832626927704,28,1
28,236,0.916968737636319,0.0135921601834847,18.4435792390256,16.405199301216,0.152045563219394,49,1
29,1,12.5663706143592,NA,0,0,0,1,0
30,9,0.606388595009228,0.687075162599638,7.1875433521662,2.19841936882509,-0.0804939068854037,9,0
31,107,0.424443167629146,0.484615186360172,19.1448304826709,8.10316811816035,0.964723696683729,44,0
32,99,0.324255143491097,0.053759660095441,14.0101878802545,11.0632538831642,0.593167484351857,49,0
33,8,1.07802416890529,0.660408163265306,5.63218098549113,1.81067317500208,-0.873752591432467,8,0
34,1,12.5663706143592,NA,0,0,0,1,0
35,32,0.397679490328654,0.146527557864603,8.80898630943876,5.88524725055121,-0.753553535619105,23,0
36,1,12.5663706143592,NA,0,0,0,1,0
37,88,0.491035770689374,0.0745820323263722,12.6003004935499,9.52112645435661,0.0954587011386491,38,0
38,1,12.5663706143592,NA,0,0,0,1,0
39,71,1.08108485911073,0.0262585501132922,10.3055610127315,8.75125941530204,1.22149267045662,25,0
40,154,0.971688545099036,0.103122626649249,16.5502482873889,11.8638716541275,-1.27253302805654,38,0
41,192,0.416804936682812,0.171337568324475,24.0948147260395,15.5126032044574,0.0543888814733524,61,0
42,246,0.476719460754394,0.106047075472108,23.898117554432,17.0448258270417,-0.67103395923574,67,0
43,50,1.02755392362322,0.122707738359591,9.63624405936215,6.68422025582698,-0.249768776639763,21,0
44,173,0.840101010194791,0.0591672968156821,16.8920559039701,13.1790039921276,-0.768139027443134,43,1
45,296,0.627166121631661,0.186725663873688,25.8849088923791,16.2999576970214,1.45056496814446,64,0
46,37,1.20332669987436,0.0222537949716905,7.39983603560428,6.36719599697147,1.46645544562738,18,0
47,195,0.751240713241114,0.115387523125339,18.927254673637,13.2880326453683,-0.656224900254693,48,1
48,27,0.216840911499104,0.253823076071287,13.2920243047958,7.63518348047905,0.135126078950623,26,0
49,1,12.5663706143592,NA,0,0,0,1,0
50,2,6.28318530717959,1,2,0,0,2,0
51,57,0.649326591235573,0.250461837902475,11.5266870565578,6.65083976327926,1.2298940933208,26,0
52,185,0.758686859233145,0.0190210879734387,16.5459910752793,14.4016433278303,-0.60775418284774,45,1
53,58,1.13743426791168,0.0442702422361277,9.53927130834648,7.7046349180003,0.488373797802074,22,0
54,4,3.14159265358979,0,2,2,0,4,0
55,205,1.00506045224954,0.0091915566431684,16.9479434320257,15.394010705342,-1.49440312360707,44,1
56,155,0.864892550646056,0.126573413109547,17.0189718438887,11.7316743572689,0.630922224187476,40,0
57,421,0.502879105811104,0.744755548763251,44.947643719277,12.1891675399392,1.12695982551288,86,0
58,145,0.517199725729855,0.0389936147461079,15.2840067794542,12.5122795342704,-0.954548068879546,46,1
59,115,0.87552647040658,0.00186043849040091,12.4268357774503,11.9019080855277,-0.052388883408023,34,0
60,1,12.5663706143592,NA,0,0,0,1,1
61,171,0.658780317765285,0.547420298362413,23.8233163242011,9.21150971011241,0.9792039962598,48,0
62,208,0.778573010876047,0.0201597527108259,17.5710807439339,15.2305538119647,-0.255157580508782,48,1
63,3,2.35619449019234,1,3.2659863237109,0,1.5707963267949,3,0
64,32,1.07802416890529,0.0377030453471377,7.10242690652135,5.83437289153869,0.81541928710814,16,0
65,1,12.5663706143592,NA,0,0,0,1,0
66,95,0.694643448413829,0.0898588814576909,12.963132294997,9.51479815486855,0.714947766324279,31,0
67,4,1.39626340159546,1,4.47213595499958,0,1.5707963267949,4,0
68,1,12.5663706143592,NA,0,0,0,1,0
69,1,12.5663706143592,NA,0,0,0,1,0
70,2,6.28318530717959,1,2,0,0,2,0
71,160,0.676251188518389,0.0830644726640241,16.7586432228669,12.4572419631577,0.633638867959302,45,1
72,243,0.96392233396152,0.00571335183610844,18.2872829484565,16.9535073113284,1.32046551774953,48,1
73,250,0.864453908344111,0.102314764495197,21.1882769615623,15.2099427809616,-1.35919333663648,52,1
74,1,12.5663706143592,NA,0,0,0,1,1
75,236,0.865786175812114,0.0364283420443212,19.1313693902112,15.7698147382393,1.41013398523068,49,1
76,147,0.533013582473542,0.141636646049143,17.0756942745763,11.4943969048078,-0.834656327940634,48,1
77,24,0.365437135474051,0.416153846153846,9.74936997373973,4.52828230907678,-1.49900462997166,20,0
78,337,0.425696453855709,0.111458760116564,27.9567140980046,19.7567950332756,-0.644731085942998,83,0
79,41,0.902020222961573,0.100683822849708,8.76912256682825,6.31284747518465,1.42779960489224,21,0
80,2,6.28318530717959,1,2,0,1.5707963267949,2,0
81,138,0.818064522882092,0.067479848593375,15.2397658820761,11.6819823875518,1.47680866964737,39,0
82,6,2.0943951023932,0.206611570247934,3.2659863237109,2,1.5707963267949,6,0
83,165,0.507146292895212,0.331246282481835,21.3215021513974,11.0667849740873,-0.035133194589752,52,0
84,51,0.416788181134314,0.34084076190089,11.9609127906302,6.13133229618821,0.934579019733155,28,0
85,56,1.11957251426013,0.042813370120322,9.373117320555,7.59811860851022,0.740029885058211,23,1
86,204,0.977408579807467,0.00511920211119979,16.7072754967551,15.5517506834504,1.37847655548245,45,1
87,153,0.884338595518237,0.216089019675058,17.9953880952913,10.8767794023379,0.962087321069857,40,0
88,1,12.5663706143592,NA,0,0,0,1,0
89,4,2.15604833781059,0.555555555555556,3.23606797749979,1.23606797749979,1.01722196789785,4,0
